no,city,location,income,eggette,cbrick,gas,diesel,lgas,ngas,cgas,faeces,jg,fw,op,eu,euo,ekg,et,etc,cbu,cbuo,cbkg,cbt,cbtc,gu,guo,gl,gt,gtc,du,duo,dl,dt,dtc,lgu,lguo,lgkg,lgt,lgtc,ngt,ngtc,cgt,cgtc,fu,fuo,fkg,ft,ftc,jgu,jguo,jgkg,jgt,jgtc,fwu,fwuo,fwkg,fwt,fwtc,opu,opuo,opkg,opcm,opl,opt,optc
381,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,200,400,,,,,,,,,,,,,,,,,,,,,,,,
387,1,北京市,-1.0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,升,,,,1000,,,,,,,,,,,600,1000,,,,,,,,,,,,,,,,,,,,,,,,
392,1,北京市,0.0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,升,,,1785,10000,,,,,,,,,,,404,922,,,,,,,,,,,,,,,,,,,,,,,,
393,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,480,1080,,,,,,,,,,,,,,,,,,,,,,,,
422,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,1,北京市,-2.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,200,456,,,,,,,,,,,,,,,,,,,,,,,,
460,1,北京市,-1.0,0,0,0,0,0,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468,1,北京市,-2.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,
470,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
481,1,北京市,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,35.0,6,510,,,,,,,,,,,,,,,,,,,,,,,,,,
489,1,北京市,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,250,570,,,,,,,,,,,,,,,,,,,,,,,,
493,1,北京市,2.0,0,1,0,0,0,0,0,0,0,0,,,,,,,公斤,,,10000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,1,北京市,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,480,960,,,,,,,,,,,,,,,,,,,,,,,,
513,1,北京市,-1.0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,升,,,900,5400,,,,,,,,30.0,10,500,,,,,,,,,,,,,,,,,,,,,,,,,,
515,1,北京市,-2.0,1,0,0,0,0,0,0,0,0,0,,公斤,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,1,北京市,-1.0,0,1,0,0,0,0,0,0,0,0,,,,,,,公斤,,,100,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,300,,,,,,,,,,,,,,,,,,,,,,,,
528,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,292,600,,,,,,,,,,,,,,,,,,,,,,,,
537,2,北京市,0.0,1,0,0,0,0,0,0,0,0,0,,斤,,,600,4200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,1,北京市,-1.0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,升,,,1700,15000,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
551,1,北京市,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,50.0,15,900,,,,,,,,,,,,,,,,,,,,,,,,,,
563,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,
566,1,北京市,0.0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,330,,,,,,,,,,,,,,,,,,,,,,
572,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,
577,1,北京市,0.0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,升,,,150,1000,,,,,,,,,,,250,560,,,,,,,,,,,,,,,,,,,,,,,,
584,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,1,北京市,0.0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,升,,,2000,15000,,,,,,,,,,,750,1500,,,,,,,,,,,,,,,,,,,,,,,,
587,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,
595,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,90,180,,,,,,,,,,,,,,,,,,,,,,,,
600,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,35,70,,,,,,,,,,,,,,,,,,,,,,,,
608,1,北京市,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
613,1,北京市,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,
615,1,北京市,0.0,0,1,0,0,0,0,0,0,0,0,,,,,,,公斤,,,2000,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
