no,city,location,income,eggette,cbrick,gas,diesel,lgas,ngas,cgas,faeces,jg,fw,op,eu,euo,ekg,et,etc,cbu,cbuo,cbkg,cbt,cbtc,gu,guo,gl,gt,gtc,du,duo,dl,dt,dtc,lgu,lguo,lgkg,lgt,lgtc,ngt,ngtc,cgt,cgtc,fu,fuo,fkg,ft,ftc,jgu,jguo,jgkg,jgt,jgtc,fwu,fwuo,fwkg,fwt,fwtc,opu,opuo,opkg,opcm,opl,opt,optc
9613,2,江西省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斤,,,,,,,,,,,
9616,2,江西省,-1.0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,20.0,2,210,,,,,,,,,,,,,,,捆,,40.0,15,,,,,,,,
9617,2,江西省,0.0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,升,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9623,1,江西省,-1.0,0,0,0,0,0,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9624,2,江西省,1.0,0,0,1,1,1,0,0,0,0,1,,,,,,,,,,,,升,,,1500,1500,升,,,300,2000,,,25.0,270,270,,,,,,,,,,,,,,,板车,,250.0,10,,,,,,,,
9625,1,江西省,1.0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,3100,,,,,,,,,,,,,,,,,,,,,,
9626,2,江西省,-1.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,30.0,50,,,,,,,,
9629,2,江西省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,60.0,80,,,,,,,,
9630,1,江西省,-2.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,50.0,6,600,,,,,,,,,,,,,,,,,,,,,,,,,,
9631,1,江西省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.5,15,1650,,,,,,,,,,,,,,,,,,,,,,,,,,
9637,1,江西省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,40.5,5,550,,,,,,,,,,,,,,,,,,,,,,,,,,
9638,1,江西省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,30.5,6,660,,,,,,,,,,,,,,,,,,,,,,,,,,
9642,1,江西省,0.0,0,0,0,0,0,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9645,2,江西省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斤,,,,,,,,,,,
9646,2,江西省,-1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,15.0,5,500,,,,,,,,,,,,,,,,,,,,,,,,,,
9647,1,江西省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,25.0,,99998,,,,,,,,,,,,,,,,,,,,,,,,,,
9648,1,江西省,-1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,2.5,20,2000,,,,,,,,,,,,,,,,,,,,,,,,,,
9651,2,江西省,0.0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,升,,,8,50,,,,,,,,,,,,,,,,,,,,,,,,,捆,,10.0,3,,,,,,,,
9652,2,江西省,-1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,16.0,10,900,,,,,,,,,,,,,,,,,,,,,,,,,,
9655,2,江西省,-1.0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,14.5,7,735,,,,,,,,,,,,,,,拖拉机,,8000.0,1,,,,,,,,
9658,2,江西省,-2.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斤,,,1200,,,,,,,,
9663,2,江西省,-1.0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,升,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9666,2,江西省,-1.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,30.0,,,,,,,,,
9671,2,江西省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,10.0,,,,,,,,,
9683,2,江西省,-1.0,0,0,0,0,1,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,15.0,8,800,,,,,,,,,,,,,,,,,,,,,,,,,,
9686,1,江西省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斤,,,100,20,,,,,,,
9687,2,江西省,-1.0,1,0,0,0,0,0,0,0,0,0,,个,,0.899999976158142,1920,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9688,2,江西省,0.0,0,0,0,0,0,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9690,2,江西省,-2.0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,升,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,35.0,,,,,,,,,
9696,2,江西省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,15.0,5,600,,,,,,,,,,,,,,,,,,,,,,,,,,
9697,2,江西省,-1.0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,捆,,30.0,,,,,,,,,
9700,2,江西省,-1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,20.0,8,670,,,,,,,,,,,,,,,,,,,,,,,,,,
9702,2,江西省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,24.0,4,600,,,,,,,,,,,,,,,,,,,,,,,,,,
9710,2,江西省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,12.0,6,720,,,,,,,,,,,,,,,,,,,,,,,,,,
9711,2,江西省,-1.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斤,,,300,,,,,,,,
9720,2,江西省,-1.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,堆,,50.0,5,,,,,,,,
9721,2,江西省,-1.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公斤,,,,,,
9728,2,江西省,-1.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公斤,,,,,,,,,,,
9730,2,江西省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,堆,,0.0,150,,,,,,,,
9731,2,江西省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,25.0,600,600,,,,,,,,,,,,,,,,,,,,,,,,,,
9734,2,江西省,-2.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,10.0,,,,,,,,,
9738,2,江西省,-1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,14.0,12,1260,,,,,,,,,,,,,,,,,,,,,,,,,,
9739,2,江西省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,14.5,10,1000,,,,,,,,,,,,,,,,,,,,,,,,,,
9741,2,江西省,-2.0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斤,,,,,斤,,,,,,,,,,,
9745,2,江西省,0.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公斤,,,,,,
9747,2,江西省,1.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公斤,,,,,,
9751,1,山东省,1.0,1,1,1,0,1,0,0,0,0,0,,个,,1.0,1500,800,公斤,,,4000,2000,升,,,130,700,,,,,,公斤,,,24,600,,,,,,,,,,,,,,,,,,,,,,,,,,
9757,1,山东省,-1.0,1,0,0,0,1,0,0,0,0,0,,个,,0.5,550,550,,,,,,,,,,,,,,,,,,30.0,3,300,,,,,,,,,,,,,,,,,,,,,,,,,,
9761,1,山东省,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120,600,,,,,,,,,,,,,,,,,,,,,,,,
9762,1,山东省,0.0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,200,500,100,200,,,,,,,,,,,,,,,,,,,,,,
9763,2,山东省,-1.0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,5.0,50,,,,,,,,,,,,,
9769,1,山东省,1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,8.0,5,600,,,,,,,,,,,,,,,,,,,,,,,,,,
9777,1,山东省,0.0,0,1,0,0,1,0,0,0,0,0,,,,,,,公斤,,,800,600,,,,,,,,,,,,,15.0,7,500,,,,,,,,,,,,,,,,,,,,,,,,,,
9780,1,山东省,0.0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,500,,,,,,,,,,,,,,,,,,,,,,
9783,2,山东省,-1.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,2.0,40,,,,,,,,
9786,1,山东省,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9796,2,山东省,1.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9798,1,山东省,-1.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,5.5,10,,,,,,,,
9800,2,山东省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斤,,,,,,,,,,,
9802,1,山东省,0.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,450,450
9805,2,山东省,0.0,0,1,0,0,0,0,0,0,0,0,,,,,,,公斤,,,1500,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9807,2,山东省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,10.0,,,,,,,,,
9809,1,山东省,-1.0,0,0,0,0,0,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9810,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,600,600,,,,,,,,,,,,,,,,,,,,,,,,
9811,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,
9812,1,山东省,-1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,公斤,,,,720,,,,,,,,,,,,,,,,,,,,,,,,,,
9816,1,山东省,-1.0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,30.0,3,280,200,500,,,,,,,,,,,,,,,,,,,,,,,,
9822,1,山东省,-1.0,1,0,0,0,0,0,0,0,0,0,电,个,,500.0,900,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9828,1,山东省,0.0,0,0,0,0,0,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9830,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,10,480,,,,,,,,,,,,,,,,,,,,,,,,
9843,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120,2880,,,,,,,,,,,,,,,,,,,,,,,,
9850,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9856,1,山东省,1.0,0,0,1,1,0,1,0,0,0,0,,,,,,,,,,,,升,,,1666,10000,升,,,2000,11000,,,,,,100,300,,,,,,,,,,,,,,,,,,,,,,,,
9873,1,山东省,1.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,度,1.0,0.0,0.0,2400,1680
9878,1,山东省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,25.0,150,15000,,,,,,,,,,,,,,,,,,,,,,,,,,
9882,1,山东省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,公斤,,,50,200,,,,,,,,,,,,,,,,,,,,,,,,,,
9886,2,山东省,0.0,1,0,0,0,1,0,0,0,0,0,,公斤,,,2500,2000,,,,,,,,,,,,,,,,公斤,,,60,420,,,,,,,,,,,,,,,,,,,,,,,,,,
9889,2,山东省,0.0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,筐,,5.0,,,筐,,5.0,50,,,,,,,,
9891,1,山东省,0.0,1,1,0,0,1,0,0,0,0,0,,个,,0.5,500,350,公斤,,,1000,660,,,,,,,,,,,,,15.0,4,360,,,,,,,,,,,,,,,,,,,,,,,,,,
9896,1,山东省,-1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,斤,,,360,1980,,,,,,,,,,,,,,,,,,,,,,,,,,
9904,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9906,1,山东省,-2.0,0,1,0,0,0,0,0,0,0,0,,,,,,,斤,,,1000,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9908,1,山东省,0.0,0,0,0,0,0,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9909,1,山东省,0.0,0,1,0,0,1,0,0,0,0,0,,,,,,,公斤,,,2000,3500,,,,,,,,,,,公斤,,,50,400,,,,,,,,,,,,,,,,,,,,,,,,,,
9913,2,山东省,0.0,0,0,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,10.0,50,50,,,,,,,,,,筐,,5.0,,,筐,,5.0,50,,,,,,,,
9914,2,山东省,-1.0,1,0,0,0,1,0,0,0,0,0,,个,,0.5,1000,500,,,,,,,,,,,,,,,,,,35.0,3,400,,,,,,,,,,,,,,,,,,,,,,,,,,
9917,2,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,29,300,,,,,,,,,,,,,,,,,,,,,,,,
9924,1,山东省,0.0,1,1,0,0,1,0,0,1,0,1,,个,,0.699999988079071,1100,600,公斤,,,700,840,,,,,,,,,,,,,25.0,3,300,,,,,筐,,20.0,2,,,,,,,捆,,5.0,40,,,,,,,,
9928,2,山东省,0.0,0,1,0,0,0,0,0,0,0,0,,,,,,,,吨,1000.0,2,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9932,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,300,,,,,,,,,,,,,,,,,,,,,,,,
9933,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9935,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9939,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,200,440,,,,,,,,,,,,,,,,,,,,,,,,
9943,1,山东省,-2.0,0,1,0,0,0,0,0,0,0,0,,,,,,,斤,,,850,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9944,1,山东省,-2.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120,300,,,,,,,,,,,,,,,,,,,,,,,,
9948,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,100,250,,,,,,,,,,,,,,,,,,,,,,,,
9950,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,140,2500,,,,,,,,,,,,,,,,,,,,,,,,
9952,1,山东省,-2.0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120,300,,,,,,,,,,,,,,,,,,,,,,,,
9954,2,山东省,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9955,2,山东省,-2.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斤,,,3000,,,,,,,,
9958,1,山东省,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120,300,,,,,,,,,,,,,,,,,,,,,,,,
9966,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9970,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,60,2400,,,,,,,,,,,,,,,,,,,,,,,,
9974,1,山东省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,15.0,5,375,,,,,,,,,,,,,,,,,,,,,,,,,,
9975,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9976,1,山东省,0.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
9977,1,山东省,-1.0,1,0,0,0,0,0,0,0,0,0,,个,,0.300000011920929,2000,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9979,2,山东省,-1.0,0,1,0,0,1,0,0,0,0,0,,,,,,,公斤,,,2500,2500,,,,,,,,,,,斤,,,60,240,,,,,,,,,,,,,,,,,,,,,,,,,,
9983,2,山东省,0.0,0,1,0,0,0,0,0,0,0,0,,,,,,,公斤,,,600,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9984,1,山东省,-1.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,2000,1500
9990,1,山东省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,5.0,,,,,,,,,
9992,1,山东省,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1000,,,,,,,,,,,,,,,,,,,,,,,,
9995,1,山东省,-1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,30,120,,,,,,,,,,,,,,,,,,,,,,,,
9998,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,120,3000,,,,,,,,,,,,,,,,,,,,,,,,
10007,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,250,250,,,,,,,,,,,,,,,,,,,,,,,,
10008,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,
10010,1,山东省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,15.0,8,400,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018,2,山东省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斤,,,600,,,,,,,,
10019,2,山东省,0.0,0,1,0,0,0,0,0,0,0,1,,,,,,,公斤,,,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,筐,,30.0,40,,,,,,,,
10027,1,山东省,1.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,25,100,,,,,,,,,,,,,,,,,,,,,,,,
10029,2,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,80,90,,,,,,,,,,,,,,,,,,,,,,,,
10030,2,山东省,0.0,1,0,0,0,0,0,0,0,0,1,,筐,,10.0,10,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,筐,,5.0,200,,,,,,,,
10032,2,山东省,0.0,0,1,0,0,1,0,0,0,0,0,,,,,,,公斤,,,1000,700,,,,,,,,,,,,,25.0,6,600,,,,,,,,,,,,,,,,,,,,,,,,,,
10034,1,山东省,0.0,0,1,0,0,1,0,0,0,0,0,,,,,,,,吨,1000.0,1,1200,,,,,,,,,,,,,40.0,55,3500,,,,,,,,,,,,,,,,,,,,,,,,,,
10042,2,山东省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,公斤,,,75,425,,,,,,,,,,,,,,,,,,,,,,,,,,
10043,2,山东省,-1.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,公斤,,,60,480,,,,,,,,,,,,,,,,,,,,,,,,,,
10049,1,山东省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,10.0,15,1500,,,,,,,,,,,,,,,,,,,,,,,,,,
10053,1,山东省,0.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,度,1.0,0.0,0.0,2000,1400
10055,2,山东省,1.0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,300,,,,,,,,,,,,,,,,,,,,,,
10062,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,70,140,,,,,,,,,,,,,,,,,,,,,,,,
10064,1,山东省,0.0,0,1,0,0,1,0,0,0,0,0,,,,,,,公斤,,,800,800,,,,,,,,,,,,,60.0,5,600,,,,,,,,,,,,,,,,,,,,,,,,,,
10073,1,山东省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,公斤,,,300,1800,,,,,,,,,,,,,,,,,,,,,,,,,,
10076,1,山东省,-1.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,360,400
10083,2,山东省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,10.0,10,600,,,,,,,,,,,,,,,,,,,,,,,,,,
10084,1,山东省,-1.0,1,1,0,0,1,0,0,0,1,0,,个,,1.0,800,800,公斤,,,500,500,,,,,,,,,,,斤,,,100,400,,,,,,,,,,堆,,5.0,40,,,,,,,,,,,,,
10090,2,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094,1,山东省,-2.0,0,0,0,0,0,0,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,360,900,,,,,,,,,,,,,,,,,,,,,,,,
10098,1,山东省,0.0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,16.0,2,120,,,,,,,,,,,,,,,,,,,,,,,,,,
10103,2,山东省,1.0,0,0,0,0,0,1,0,0,0,0,电,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112,1,山东省,0.0,0,0,1,0,0,1,0,0,0,0,,,,,,,,,,,,升,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113,2,山东省,0.0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,公斤,,,50,800,,,,,,,,,,,,,,,,,,,,,,,,,,
10115,2,山东省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,板车,,20.0,24,,,,,,,,
10131,2,山东省,0.0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公斤,,,,,,,,,,,,,,,,
10133,2,山东省,0.0,0,1,0,0,1,0,0,0,0,0,,,,,,,公斤,,,2000,2000,,,,,,,,,,,斤,,,90,360,,,,,,,,,,,,,,,,,,,,,,,,,,
10134,1,山东省,0.0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
10136,1,山东省,-1.0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,750,,,,,,,,,,,,,,,,,,,,,,
10138,2,山东省,0.0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,5.0,50,,,,,,,,
10140,2,山东省,-2.0,1,0,0,0,0,0,0,0,0,1,,筐,,26.0,5,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,捆,,0.0,100,,,,1.0,0.0,0.0,,
10142,1,山东省,0.0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,110,300,,,,,,,,,,,,,,,,,,,,,,,,
